shortlistNumber,parentSampleNumber,priority,tier,etfCode,name,grade,readinessScore,reason,aiRecommendation,currentTagIds,issuer,benchmarkName,topHoldings,decision,finalTagIds,note,missingEvidence,nextAction,reviewer,reviewedAt
1,44,100,critical_rule_error,0104P0,TIGER 코리아배당다우존스위클리커버드콜,B,72,국내 배당 ETF에 미국 지역 태그가 붙은 규칙 오탐 가능성,region.us 제거 및 국내 노출 여부 확인,dividend.covered_call|dividend.korea_high_dividend|region.us|asset.equity|strategy.passive_index,미래에셋자산운용,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,미스토홀딩스 4.91%|하나금융지주 4.64%|JB금융지주 4.51%|영원무역 4.48%|DB손해보험 4.45%,,,,,,,
2,178,99,critical_rule_error,0052D0,TIGER 코리아배당다우존스,B,68,국내 배당 ETF에 미국 지역 태그가 붙은 규칙 오탐 가능성,region.us 제거 및 국내 노출 여부 확인,dividend.korea_high_dividend|region.us|asset.equity|strategy.passive_index,미래에셋자산운용,Dow Jones Korea Dividend 30 지수 (Price Return),미스토홀딩스 5.03%|하나금융지주 4.75%|JB금융지주 4.63%|영원무역 4.58%|DB손해보험 4.56%,,,,,,,
3,144,98,lineage_error,490090,TIGER 미국AI빅테크10,B,72,493810과 같은 PDF·해시·접수번호를 공유해 월분배 정보가 잘못 전이된 정황,monthly 근거를 보류하고 DART 첨부문서 연결 관계를 우선 수정,region.us|asset.equity|strategy.passive_index,미래에셋자산운용,KEDI 미국AI빅테크10 지수(PR),Apple Inc 19.81%|NVIDIA Corp 19.07%|Alphabet Inc 14.06%|Microsoft Corp 11.83%|Amazon.com Inc 9.79%,,,,,,,
4,143,97,lineage_error,458730,TIGER 미국배당다우존스,B,72,비커버드콜 상품에 커버드콜 상품 설명 PDF가 연결된 것으로 의심됨,monthly 근거를 보류하고 DART 첨부문서 연결 관계를 우선 수정,region.us|asset.equity|strategy.passive_index,미래에셋자산운용,Dow Jones U.S. Dividend 100 Price Return Index,Abbott Laboratories 4.5%|UnitedHealth Group Inc 4.4%|Merck & Co Inc 4.33%|Amgen Inc 4.22%|Home Depot Inc/The 4.22%,,,,,,,
5,2,96,rare_tag,387280,TIGER 퓨처모빌리티액티브,B,68,표본 내 희소한 자율주행·미래 모빌리티 태그 검증 사례,자율주행과 전기차·배터리 태그 병존 검토,sector.ev_battery|sector.autonomous_mobility|strategy.active|asset.equity|region.domestic_kr,미래에셋자산운용,FnGuide 퓨처모빌리티 지수,현대모비스 9.19%|삼성SDI 8.19%|LG에너지솔루션 7.72%|삼성전기 7.44%|SK하이닉스 6.86%,,,,,,,
6,16,95,rare_tag,266550,PLUS 중형주저변동50,A,76,저변동성 태그의 대표적인 명시형 상품,저변동성 태그 유지 및 신뢰도 상향 검토,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,한화자산운용,FnGuide 중형주저변동50지수,iM금융지주 3.1%|한국콜마 3.03%|오리온 2.99%|CJ제일제당 2.96%|강원랜드 2.95%,,,,,,,
7,9,94,evidence_gap,489000,PLUS 일본엔화초단기국채(합성),B,61,일본 엔화·초단기 국채 분류를 검증할 보유종목 근거가 부족함,현재 분류를 잠정 유지하되 근거 부족이면 insufficient,asset.bond.money_market|asset.bond|asset.bond.government|region.japan|strategy.passive_index,한화자산운용,KAP 일본 단기 국채 지수(총수익),,,,,,,,
8,10,93,evidence_gap,375270,RISE 글로벌데이터센터리츠(합성),B,61,글로벌 데이터센터 리츠의 국가·보유종목 근거가 부족함,리츠·선진국 분류를 잠정 유지하되 insufficient 검토,asset.reit|region.developed|strategy.passive_index,KB자산운용,Kelly Data Center & Tech Infrastructure Net Total Return Index,,,,,,,,
9,142,92,post_dart_boundary,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,B,72,월분배 공시가 정합하지만 490090에 동일 PDF가 공유된 계보 감사 기준점,monthly는 유지 검토하되 490090과 문서 계보를 분리,dividend.covered_call|region.us|asset.equity|strategy.passive_index,미래에셋자산운용,KEDI 미국AI빅테크10+15%데일리프리미엄 지수(TR),Apple Inc 20.13%|NVIDIA Corp 19.38%|Alphabet Inc 14.28%|Microsoft Corp 12.02%|Amazon.com Inc 9.94%,,,,,,,
10,35,91,multi_sector_boundary,364960,TIGER BBIG,B,68,배터리·바이오·게임을 동시에 허용할 기준을 대표하는 사례,보유종목이 세 영역을 지지하므로 복수 태그 유지 검토,sector.ev_battery|sector.healthcare_bio_pharma|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,미래에셋자산운용,KRX BBIG 지수,삼성SDI 10.35%|NC 10.14%|크래프톤 9.8%|셀트리온 8.91%|POSCO홀딩스 8.85%,,,,,,,
11,30,90,multi_sector_boundary,0192T0,SOL 코스닥TOP10,B,68,광범위 TOP10 지수에 세부 섹터 태그를 붙이는 임계값 사례,바이오·배터리·반도체 태그의 편입비중 기준 확인,sector.healthcare_bio_pharma|sector.ev_battery|sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,신한자산운용,코스닥 TOP 10 지수,알테오젠 22%|에코프로 16.45%|에코프로비엠 12.7%|원익IPS 9.74%|HLB 8.7%,,,,,,,
12,22,89,rare_tag,234310,RISE V&S셀렉트밸류,A,76,가치주 태그의 희소한 검증 사례,지수 방법론 확인 후 가치주 태그 유지 검토,strategy.value|asset.equity|region.domestic_kr|strategy.passive_index,KB자산운용,FnGuide 셀렉트 밸류 지수,삼성전자 28.45%|메리츠금융지주 11.82%|현대모비스 4.34%|신한지주 3.76%|LG 3.14%,,,,,,,
13,23,88,definition_boundary,376410,TIGER 탄소효율그린뉴딜,B,68,탄소효율 ESG와 클린에너지를 구분해야 하는 사례,ESG는 유지하되 클린에너지는 추가하지 않음,asset.equity|region.domestic_kr|strategy.passive_index|strategy.esg_screening,미래에셋자산운용,KRX/S&P 탄소효율 그린뉴딜지수,삼성전자 27.1%|SK하이닉스 21.38%|SK스퀘어 3.55%|KB금융 1.66%|현대차 1.64%,,,,,,,
14,29,87,confidence_check,0152E0,SOL 배당성향탑픽액티브,B,68,배당성향과 금융주 근거가 모두 있는 양성 대조 사례,고배당·금융 태그 유지 및 신뢰도 상향 검토,dividend.korea_high_dividend|sector.financials|strategy.active|asset.equity|region.domestic_kr,신한자산운용,FnGuide 배당성향탑픽 지수(PR),삼성화재 12.26%|DB손해보험 8.81%|우리금융지주 8.8%|BNK금융지주 7.64%|NH투자증권 7.37%,,,,,,,
15,20,86,definition_boundary,487130,KoAct AI인프라액티브,B,68,AI 인프라 테마에서 운용목표와 실제 보유종목을 구분하는 사례,"반도체는 유지, AI 전력은 비중 기준 확인",sector.semiconductor|sector.ai_power_infrastructure|strategy.active|asset.equity|region.domestic_kr,삼성액티브자산운용,Solactive AI인프라 지수,SK하이닉스 18.29%|삼성전자 11.97%|테스 9.12%|피에스케이 5.5%|LS ELECTRIC 5.11%,,,,,,,
16,19,85,rare_tag,469070,RISE AI&로봇,A,76,로봇 태그의 명시적 양성 사례,로봇 태그 유지 및 신뢰도 상향 검토,asset.equity|region.domestic_kr|strategy.passive_index|sector.robotics,KB자산운용,iSelect AI&로봇 지수(시장가격),NAVER 6.6%|LG전자 5.81%|LG씨엔에스 5.77%|로보티즈 5.67%|레인보우로보틱스 5.38%,,,,,,,
17,7,84,multi_sector_boundary,157490,TIGER 소프트웨어,B,68,소프트웨어 ETF에 게임·미디어까지 허용할지 판단하는 사례,"IT는 유지, 게임·미디어는 편입비중 기준 확인",sector.it|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,미래에셋자산운용,FnGuide 소프트웨어 지수,NAVER 25.41%|카카오 20.75%|삼성에스디에스 12.94%|크래프톤 11.11%|NC 6.78%,,,,,,,
18,25,83,definition_boundary,227550,TIGER 200 산업재,B,68,산업재와 방산·운송 태그의 경계를 확인하는 사례,"방산은 근거 확인, 운송은 대리 태그로 추가하지 않음",sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index|strategy.benchmark.kospi200,미래에셋자산운용,코스피 200 산업재,한화에어로스페이스 16.97%|LG에너지솔루션 12.9%|LS ELECTRIC 11.59%|한국항공우주 8.37%|LIG디펜스앤에어로스페이스 7.7%,,,,,,,
19,139,82,post_dart_boundary,458750,TIGER 미국배당다우존스타겟커버드콜1호,B,72,월분배 구조화 문구와 상품 특성이 정합한 DART 양성 사례,monthly·커버드콜 근거 유지; 쌍둥이 상품 458760은 별도 중복 검토 생략,dividend.covered_call|region.us|asset.equity|strategy.passive_index,미래에셋자산운용,DowJones U.S. Dividend 100 3% Premium Covered Call 지수 (TR),Schwab US Dividend Equity ETF 11.6%|Abbott Laboratories 4%|UnitedHealth Group Inc 3.93%|Merck & Co Inc 3.86%|Amgen Inc 3.78%,,,,,,,
20,141,80,post_dart_boundary,474220,TIGER 미국테크TOP10타겟커버드콜,B,72,월분배 구조화 문구가 상품명과 정합한 DART 양성 사례,monthly·커버드콜 근거 유지 검토,dividend.covered_call|region.us|asset.equity|strategy.passive_index,미래에셋자산운용,Bloomberg U.S. Tech Top10+10% Premium Covered Call Index,Apple Inc 20.24%|NVIDIA Corp 19.04%|Alphabet Inc 15.18%|Microsoft Corp 12.29%|Amazon.com Inc 10.1%,,,,,,,
21,50,50,low_confidence_fallback,484880,SOL 금융지주플러스고배당,B,68,낮은 신뢰도 또는 경계 태그 1건을 추가 점검,현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,sector.financials|dividend.korea_high_dividend|asset.equity|region.domestic_kr|strategy.passive_index,신한자산운용,FnGuide 금융지주플러스고배당 지수(PR),KB금융 22.28%|신한지주 20.95%|하나금융지주 19.71%|우리금융지주 14.54%|한국금융지주 6.99%,,,,,,,
22,36,49,low_confidence_fallback,0098N0,PLUS 자사주매입고배당주,A,80,낮은 신뢰도 또는 경계 태그 1건을 추가 점검,현재 태그와 보유종목·기초지수 근거의 일치 여부 확인,dividend.korea_high_dividend|sector.financials|asset.equity|region.domestic_kr|strategy.passive_index,한화자산운용,FnGuide 고배당주 플러스 자사주 지수 (PR),KB금융 5.69%|메리츠금융지주 5.6%|신한지주 5.18%|미스토홀딩스 5.06%|HMM 5.02%,,,,,,,
