shortlistNumber,etfCode,name,decision,currentTagIds,finalTagIds,note,missingEvidence,nextAction,reviewer,reviewedAt,reviewedAgainstHash
1,0104P0,TIGER 코리아배당다우존스위클리커버드콜,incorrect,dividend.covered_call|dividend.korea_high_dividend|region.us|asset.equity|strategy.passive_index,dividend.covered_call|dividend.korea_high_dividend|asset.equity|strategy.passive_index|region.domestic_kr,국내 주식 배당지수 상품이며 다우존스 명칭만으로 미국 지역을 부여한 오탐. 미국 태그를 제거하고 국내 태그를 적용.,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,b34b9af27b38d9314a0de340fe0943ba7d1d02af42cf227203fb825c30004f3e
2,0052D0,TIGER 코리아배당다우존스,incorrect,dividend.korea_high_dividend|region.us|asset.equity|strategy.passive_index,dividend.korea_high_dividend|asset.equity|strategy.passive_index|region.domestic_kr,국내 주식 배당지수 상품이며 다우존스 명칭만으로 미국 지역을 부여한 오탐. 미국 태그를 제거하고 국내 태그를 적용.,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,a30893b2a3850c4b5c04f240775cc199109e0067daa7325b926c25686c01eb11
3,490090,TIGER 미국AI빅테크10,insufficient,region.us|asset.equity|strategy.passive_index,region.us|asset.equity|strategy.passive_index,월분배 값 사용 보류.,해당 ETF 자체의 정확한 DART 첨부문서,493810과 공유된 PDF 계보를 분리하고 490090의 frequency 후보를 재조립,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,4aa67fbc8e23062b4e92d83903c62a455f32dfdf5aaef794dd05720c754ec57a
4,458730,TIGER 미국배당다우존스,insufficient,region.us|asset.equity|strategy.passive_index,region.us|asset.equity|strategy.passive_index,월분배 값 사용 보류.,비커버드콜 상품과 일치하는 정확한 DART 첨부문서,타겟데일리커버드콜 문서 연결을 제거하고 458730의 frequency 후보를 재조립,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,fad4afd6e41792a86b37377a9bd4a6f0d18dcb0bc77dee1421de679962f6a1e2
5,387280,TIGER 퓨처모빌리티액티브,correct,sector.ev_battery|sector.autonomous_mobility|strategy.active|asset.equity|region.domestic_kr,sector.ev_battery|sector.autonomous_mobility|strategy.active|asset.equity|region.domestic_kr,AI 권고 승인: 자율주행과 전기차·배터리 태그 병존 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,5429143f421e103420145d2c4036cca95ba0bbb17d5941d3b62bfcf886b8947a
6,266550,PLUS 중형주저변동50,correct,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,asset.equity|region.domestic_kr|strategy.passive_index|strategy.low_volatility,AI 권고 승인: 저변동성 태그 유지 및 신뢰도 상향 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,4e395fd9364f6d645d1aad885eb91670d34169308a628e6606c171e6fd364964
7,489000,PLUS 일본엔화초단기국채(합성),insufficient,asset.bond.money_market|asset.bond|asset.bond.government|region.japan|strategy.passive_index,asset.bond.money_market|asset.bond|asset.bond.government|region.japan|strategy.passive_index,현재 분류는 잠정 유지.,공식 보유종목 및 실질 노출 근거,일본 엔화·초단기 국채 노출을 공식 자료로 보강,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,fb5d924daea158440d1421f4a53c4301536ccd5d1bb21d7d7f824510064f2ae3
8,375270,RISE 글로벌데이터센터리츠(합성),insufficient,asset.reit|region.developed|strategy.passive_index,asset.reit|region.developed|strategy.passive_index,현재 분류는 잠정 유지.,공식 보유종목 및 국가 비중,리츠·선진국 분류의 실질 노출 근거 보강,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,f082db5f05d185b3be7218736ea222fd58421962177987eb4be44bdd6292d48f
9,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,correct,dividend.covered_call|region.us|asset.equity|strategy.passive_index,dividend.covered_call|region.us|asset.equity|strategy.passive_index,AI 권고 승인: monthly는 유지 검토하되 490090과 문서 계보를 분리,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,d9cccfdab57290ca5540825e85054afa2cfa43ae7929f76bac7755d1336e1110
10,364960,TIGER BBIG,correct,sector.ev_battery|sector.healthcare_bio_pharma|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,sector.ev_battery|sector.healthcare_bio_pharma|sector.game_entertainment_media|asset.equity|region.domestic_kr|strategy.passive_index,AI 권고 승인: 보유종목이 세 영역을 지지하므로 복수 태그 유지 검토,,,AI recommendation accepted by project owner,2026-07-22T12:28:58.021Z,b2bcab4d6989c0c840e3da2bb3493c7821f1597eb757b56e228a6dce2561ace0
