shortCode,name,productId,status,productDescription,investmentObjective,benchmarkName,benchmarkDescription,distributionPolicy,rawHash,rawPath
"0015B0","KoAct 미국나스닥성장기업액티브","2ETFQ1","ok","나스닥 지수 대비 더 빠른 성장을 기대할 수 있는 고성장 혁신 기업 집중 ETF","AI, 전력 인프라, Next Bio 등 메가트렌드 주도주에 집중 투자: AI&로봇, 글로벌 에너지 전환, 차세대 항암제 등 구조적 성장 산업 내 리딩 기업에 집중 투자; 글로벌 혁신 기업이 모여 있는 미국 나스닥 지수: 미국 뿐 아니라 글로벌 혁신 기업들이 모두 모이는 미국 나스닥 시장에 집중 투자; 액티브 운용 전문 운용사, 삼성액티브자산운용: 운용역과 리서치의 협업을 통한 선택과 집중 포트폴리오로 나스닥 지수 대비 초과 성과 추구 나스닥 IPO 기업에 대한 탄력적이고 발빠른 대응 추구","나스닥 종합주가지수","미국 나스닥에 상장한 종목으로 구성된 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","58124e38e82206bff5b303e39d51177bb2d5cd4462a1c07415169ca80ea122d6","data/raw/metadata-v2/koact-product-canary/2026-07-21/0015B0.b8965af41dc2.json"
"0020H0","KoAct 글로벌양자컴퓨팅액티브","2ETFQ5","ok","글로벌 양자컴퓨팅 주도 기업에 투자하는 액티브 ETF","양자컴퓨팅 글로벌 선도기업에 투자: 양자컴퓨팅 기술발전 초입 단계로 글로벌 기술 경쟁 예상 미국 외 국가에서도 양자컴퓨팅 기술 리더쉽을 가진 선도기업을 포함해 투자; 양자컴퓨팅 구현에 필수적인 초전도체 기술에 주목: 구현 기술을 세밀히 분석하고 투자 현재 포트폴리오 Top3 종목은 초전도체 기술을 보유한 Rigetti (투자비중 13.9%), Alphabet(12.8%) > Ion Q (12.0%) * 2025.03.11 기준; 액티브 장점 살려 신규 상장기업에 발빠르게 대응: 산업개화 초기인만큼 신규 상장 활발할 것, 액티브ETF 장점을 살려 바로 편입 대응","Factset 글로벌양자컴퓨팅 PR 지수","기초적인 투자 적정성을 충족하는 종목에 대하여 Factset의 RBICS와 QCCK(양자 컴퓨팅 복합 키워드)를 활용하여 (1) 양자컴퓨팅 관련 퓨어플레이 기업, (2) 관련 기술 기업, (3) 수혜 기업들로 구성한 테마 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","f2b3347212354852ace7783ad173861cb1a950e75902bcb8281d1fb751be5226","data/raw/metadata-v2/koact-product/pages/2026-07-21/0020H0/2026-07-21T07-42-59-053Z.f2b3347212354852.json"
"0051A0","KoAct 브로드컴밸류체인액티브","2ETFR2","ok","브로드컴 중심으로 밸류체인에 투자하는 액티브 ETF","브로드컴 is 넥스트 엔비디아: AI 설계, 인프라와 고속 네트워킹 칩 시장에서 선두에 위치 ASIC 설계, AI 및 소프트웨어, 반도체 등의 밸류체인으로 이루어진 브로드컴 공급망; DeepSeek 이후 주목받는 가성비 AI, ASIC: 최근의 AI 개발 트랜드, ‘저전력’, ‘가성비’, ‘효율’, ‘최적화’ 이에, Nvidia의 GPU 에 국한되지 않은, 하이퍼스케일러들의 자체 Custom Chip 설계 가속화; ASIC(주문형반도체)의 1등 기업, 브로드컴: ASIC 시장 점유율 50% 이상의 1등 기업, 출처 : Morgan Stanley(2024.12.19)","Factset 브로드컴밸류체인 지수","브로드컴밸류체인 관련 미국 상장 종목들로 구성된 테마 지수","분기배당 (매 1,4,7,10월의 마지막 영업일 및 회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전영업일))","0a56bf2e437e30aaa5018b7cf5d3dc048bea16f8db323a76ff231d2f28432b79","data/raw/metadata-v2/koact-product/pages/2026-07-21/0051A0/2026-07-21T07-43-00-547Z.0a56bf2e437e30aa.json"
"0074K0","KoAct K수출핵심기업TOP30액티브","2ETFR6","ok","세계적으로 경쟁력 있는 한국의 대표기업에 투자하는 액티브 ETF","수출입 데이터를 활용해 수출 성장 기업 선제적으로 투자: 월별 수출입데이터 상승 지표를 활용해 yoy 연속 성장폭이 큰 한국 기업을 발굴 수출 매출액의 성장으로 실적이 개선되는 기업을 선제적으로 발굴; 독보적인 글로벌 경쟁력을 갖춘 기업에 투자: 방산, 원전, 항공/우주, 조선에 이르는 수출핵심산업군에서 가장 경쟁력 있는 한국 기업을 선별 K-컬처는 글로벌 브랜드화 되고 있음. K-미디어, 웹툰, 엔터테인먼트, 뷰티, 푸드 산업의 Top업체에 투자; 수출 유망주로 성장할 수 있는 Rising Star 기업 발굴: 구글, 유투브 등 글로벌 플랫폼의 검색 트렌드를 활용해 발굴하는 ‘Trendy’한 한국 기업 매출액에서 수출 비중이 크게 증가하고 있는 한국 기업을 발굴","KEDI K수출핵심기업TOP30지수","KEDI K수출핵심기업TOP30 지수는 최근 1년 롤링 수출 증가율과 시가총액을 반영하여 최종 30종목으로 구성한 주식 전략 지수임.","분기배당 (매 1,4,7,10월의 마지막 영업일 및 회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전영업일))","15a02ff3cbc330c3f2daed9f405864ab465ad4d00d1192c5ef4bcbb033702047","data/raw/metadata-v2/koact-product-canary/2026-07-21/0074K0.ded7d39fd890.json"
"0093D0","KoAct 팔란티어밸류체인액티브","2ETFR9","ok","팔란티어 하나로는 부족해, 이제는 '팀 팔란티어'에 주목할 때","AI소프트웨어 선두주자, 팔란티어에 집중 투자: 보안, 국방 분야에 AI를 접목한 독보적 플레이어 팔란티어 비중 25% 극대화 팔란티어 의장 ‘피터 틸’의 강력한 정치적 영향력 : 팔란티어의 미국 내 독점적 지위 견고히 구축; 팔란티어와 함께 날아오르는 혁신기업: 엔비디아(AI칩), 테슬라(AI모델), 오라클(AI클라우드) 등 글로벌 혁신 기업들이 함께하는 팀 팔란티어! 팔란티어의 기술적 강점과 빅테크의 시장 접근성 결합 : 팔란티어는 고객 접근성↑ 빅테크는 AI 생태계 활성화; 팔란티어 생태계의 라이징 스타까지 선별 투자: 팔란티어 밸류체인에 투자한다는 것 = AI 방산 생태계 전체에 투자 한다는 것 드론 전쟁 현실화, AI 활용 전술 시스템 등 방위 산업 패러다임 전환을 이끄는 라이징 종목으로 선별","KEDI 팔란티어밸류체인 지수 (PR)","팔란티어밸류체인 관련 한국, 미국, 일본, 독일 상장 종목들로 구성된 테마 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","82ac090e94356ceb454b9614f9586f5b70426f4069bdf7e1bedf27e5163ccb38","data/raw/metadata-v2/koact-product/pages/2026-07-21/0093D0/2026-07-21T07-43-02-149Z.82ac090e94356ceb.json"
"0104H0","KoAct 미국나스닥채권혼합50액티브","2ETFS3","ok","공격적인 미국 혁신 주도 기업과 방어적인 국내 단기 채권을 조합한 투자 솔루션","미국 혁신 기업 집중 투자로 공격적인 알파 수익 추구: AI, 로봇 등 혁신 기술 산업의 승자 독식 구조가 강화되고 있어 공격적인 압축 투자 전략 유효할 전망; 단기 국내 채권 투자로 꾸준한 이자 수익 확보 추구: 환율 변동 리스크 없고 금리 변동성 낮은 단기 국내 채권에 투자하여 미국 주식 변동성을 완화 예상; 연금(퇴직&개인), ISA계좌에서 100% 투자 가능: 퇴직연금 패러다임이 저축서 투자로 바뀌면서 비위험 자산 의무 비중 30%까지 활용한 투자 확대","FnGuide 미국나스닥 금융채권 혼합지수","FnGuide 미국나스닥 금융채권혼합 지수는 NASDAQ Composite(PR) 지수와 FnGuide 금융채권 지수를 Constant Mix 방식으로 혼합하여 산출하는 지수입니다. 주식/채권 비율을 일간 단위로 5:5이 되도록 유지하여 혼합 지수값을 산출합니다.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","90287ed620f7499db532e1b54a0bbe8dc3df133008927903ea27aa7e6ded60d3","data/raw/metadata-v2/koact-product-canary/2026-07-21/0104H0.3454eef4a4c0.json"
"0113G0","KoAct 미국바이오헬스케어액티브","2ETFS9","ok","기술력을 보유한 미국 바이오헬스케어 기업을 선별하여 투자하는 액티브 ETF","KoAct 바이오헬스케어 액티브 ETF의 미국 버전!: 순자산 규모 3,000억원을 돌파한 국내 대표 바이오 ETF 운용사가 선보이는 미국 바이오 ETF (한국거래소, 2025. 10. 31 기준); 빅파마보다는 M&A 가능성이 높은 기업에 투자: 성장성이 높고 신약개발 파이프라인이 유망한 기업을 바이오 전문 운용역이 리서치를 통해 선별할 예정; AI와의 시너지로 떠오르는 종목을 발빠르게 편입: 액티브 운용의 장점을 살려, AI와의 융합으로 새롭게 등장하는 바이오 기업에 신속하게 대응할 예정","Solactive 미국바이오헬스케어 지수 PR","미국바이오헬스케어 산업과 관련된 미국 상장 종목들로 구성된 테마 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","e50e8362876f881719f108c19b01305a363a62258ec42c9d827c83afa88c7b79","data/raw/metadata-v2/koact-product/pages/2026-07-21/0113G0/2026-07-21T07-43-03-669Z.e50e8362876f8817.json"
"0132D0","KoAct 글로벌K컬처밸류체인액티브","2ETFT2","ok","K컬처 핵심기업과 K컬처 판매 플랫폼 핵심기업들에 투자하는 액티브 ETF","글로벌 시장에서 활약 중인 K컬처 핵심기업에 투자: K-POP, K콘텐츠, K푸드, K웹툰, K뷰티의 대표주자인 우량기업에 투자; K컬처 밸류체인 플랫폼 핵심기업에 투자: K컬처의 확산에는 글로벌 플랫폼 기업들의 밸류체인 역할이 크게 작용한다고 판단 콘텐츠, 음원, 웹툰, 푸드, 뷰티 등에서 선도적인 위치를 자리잡은 독과점적 플랫폼 기업의 안정성에 투자할 예정; 한국과 미국의 비중을 액티브하게 투자: 플랫폼과 컨텐츠 기업 간에 투자 매력도를 비교하여, 액티브하게 비중 교체 예정","KEDI 글로벌K컬처밸류체인 지수 (PR)","KEDI 글로벌K컬처밸류체인 지수는 한국과 미국의 거래소에 상장된 종목 중 Large Language Model (LLM) 기술을 공시보고서 등에 적용하여 키워드 'K컬처밸류체인'과 유사도 점수가 높은 종목을 선정하여 구성한 지수로, 한국과 미국 각각 시가총액 상위 종목을 최대 15개까지 편입하여 산출합니다.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※ 지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","d3f83ddd10e070309d33bc8abef280c11da155b67a0861848634d021d5a337be","data/raw/metadata-v2/koact-product/pages/2026-07-21/0132D0/2026-07-21T07-43-05-103Z.d3f83ddd10e07030.json"
"0150K0","KoAct 수소전력ESS인프라액티브","2ETFT9","ok","미국 전력망 부족의 새로운 해결책, 온사이트 발전 솔루션! ESS & 수소연료전지","전력망 부족이 불러온 빅테크 전력 수급 대란: 전력망 연결에 걸리는 시간이 증가하면서 빅테크 업체들에게 전력 확보가 시급한 과제로 부상할 것으로 전망 ’25년 8월 버클리 랩에 따르면 미국 발전소 계통연결 소요시간은 2000년대 평균 2.3년 → 2024년 4.8년; 전력이 급한 빅테크의 현실적 대안, 온사이트 발전: ’24년 11월 AEP의 대규모 발주 이후 블룸에너지 SOFC(고체산화물연료전지)에 대한 빅테크들의 러브콜 쇄도 데이터센터향 ESS의 수요 역시 태양광과 함께 빠르게 증가하고 있는 것으로 파악 * AEP(American Electric Power)는 블룸에너지에 연료전지 1GW 발주 (출처 : AEP홈페이지, 2024.11.14) ※ 상기 내용에서 언급한 기업은 편입 여부와 무관하며, 단순 시장 이해를 돕기 위한 산업 사례입니다.; '25년 7월 IRA 수정안, 국내 업체들에게 기회 요인 전망: ’25년 7월 IRA 수정안에서 해외우려기관 조항이 강화됨에 따라 한국 등 비중국계 업체들의 점유율 상승 전망 국내 업체들은 미국 현지 공장 증설을 확대하는 등 적극적으로 대응에 나서고 있는 상황 ※ 상기 내용은 정책·시장 환경 변화에 따라 달라질 수 있습니다.","FnGuide 수소전력ESS인프라 지수 (PR)","FnGuide 수소전력ESS인프라 지수는 기초 요건을 충족하는 유가증권 및 코스닥 상장 종목 중 ESS 부문과 수소발전설비 부문에서 각각 키워드 기반 키워드 검색을 통하여 유니버스를 구성하고, 각 부문에서 핵심 기업을 선정하여 각 10종목씩 총 20종목을 동일가중 방식으로 편입하여 지수를 산출합니다.","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","d3c225a5a3d247bafc3eb910ee09fbfb554452a2b74d0d1bb55de668c837e6f4","data/raw/metadata-v2/koact-product/pages/2026-07-21/0150K0/2026-07-21T07-43-06-548Z.d3c225a5a3d247ba.json"
"0154H0","KoAct 차이나바이오헬스케어액티브","2ETFT6","ok","차이나는 바이오, 바이오는 KoAct","구조적인 변화로 성장이 기대되는 차이나 바이오: 큰 내수 시장, 저비용 고효율 임상 개발, 빅파마 출신 인재의 차이나 복귀로 발전하였다 판단; 높은 기술 경쟁력이 기대되는 종목을 선별하여 투자: 풍부한 R&D를 통해 향상된 기술력으로, 2025년 상반기 글로벌 BD/라이센싱 딜의 35% 이상이 차이나에서 유래 (모간스탠리, 2025. 08); 정부 정책 수혜가 기대되는 차이나 바이오 성장 가속화 전망: 글로벌 스탠다드 임상프로세스 도입, R&D 지원 정책, 직접투자, 인허가 프로세스 효율화로 산업 육성 기대 (골드만 삭스, 2025. 07) ※ 상기 내용은 향후 달라질 수 있습니다.","Solactive 차이나 바이오헬스케어 지수","차이나바이오헬스케어 산업과 관련된 기업들로 구성된 테마 지수","지급 (지급 기준일 : 1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. 영업일이 아닌 경우 그 직전 영업일) ※지급 기준일은 참고사항으로, 실제 지급일은 아래 '분배금 지급현황'을 확인","c5f6796fb3b6ad7b3b1505fc2326292936eb203d2d8c3fba8daa86546a935b54","data/raw/metadata-v2/koact-product/pages/2026-07-21/0154H0/2026-07-21T07-43-07-988Z.c5f6796fb3b6ad7b.json"
